NOMBRE DEL INDICADOR,BP GUAYAQUIL,BP PACIFICO,BP PICHINCHA,BP PRODUBANCO,BANCOS PRIVADOS GRANDES,BP AUSTRO,BP BOLIVARIANO,BP CITIBANK,BP DINERS,BP GENERAL RUMIÑAHUI,BP INTERNACIONAL,BP LOJA,BP MACHALA,BP SOLIDARIO,BANCOS PRIVADOS MEDIANOS,BP PROCREDIT,BP AMAZONAS,BP BANCO COMERCIAL DE MANABI,BP LITORAL,BP COOPNACIONAL,BP CAPITAL,BP DELBANK,BANCO ATLÁNTIDA S.A.,"BP BANCO  DESARROLLO DE LOS PUEBLOS  S.A., CODESARROLLO",BP VISIONFUND ECUADOR S.A.,BANCOS PRIVADOS PEQUEÑOS,TOTAL BANCOS PRIVADOS,BANCOS PRIVADOS COMERCIALES,BANCOS PRIVADOS CONSUMO,BANCOS PRIVADOS MICROCRÉDITO,BANCA MÚLTIPLE
MOROSIDAD DE LA CARTERA DE CRÉDITOS EDUCATIVO,0.0550443115,0.0387202193,0.0194442171,0.0678951898,0.0349747353,0.0,0.0439713825,0.0,0.0,0.0,0.0,0.0,0.0107833628,0.0,0.0311691771,0.11987556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11987556,0.0349058519,0.0,0.0,0.0,0.0349058519
MOROSIDAD DE LA CARTERA DE CRÉDITO INVERSIÓN PÚBLICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOROSIDAD DE LA CARTERA TOTAL,0.0258185314,0.0282273118,0.0407307849,0.0283141092,0.0331336459,0.0305789195,0.0167914401,3e-09,0.0603161149,0.0327688922,0.0155118393,0.0343320063,0.0251189078,0.0600436523,0.0287128292,0.0385346184,0.0333633357,0.0488982661,0.0972832467,0.0003974503,0.016190586,0.0149884802,0.0780001443,0.0799331857,0.0554828899,0.0474215067,0.0321031198,0.0143496228,0.0535837375,0.0617883313,0.0319979774
COBERTURA CARTERA INMOBILIARIO Y VIVIENDA DE INTERES PÚBLICO,1.2658973345,0.9979044535,3.0098182986,1.9620513202,2.0883427561,1.0283088155,1.0370288006,0.0,0.0,2.100976954,1.3856218654,2.6473171033,2.1699427996,1.0,1.4775431357,1.4629921879,0.0,0.0,175.2470173354,836.21,0.0,4361.595,0.0,2.0335809142,0.0,2.2977831968,1.9990304853,1.3856218654,2.1819883896,0.0,2.0233103031
COBERTURA DE LA CARTERA DE CRÉDITOS PRODUCTIVO NUEVO,2.3426746869,10.8551668918,5.7286555769,2.4854848121,5.0679256493,2.207540812,7.9906669524,15868067.0,1.0376827103,19.7028320346,7.4344026272,5.366909062,2.0732997268,13.2268181818,5.7916792558,0.9107799378,1.7711056315,1.4500226701,1.1212933354,0.0,102.1077464789,2.0021550646,0.0,2.0109795302,0.0,1.1326811427,4.9367422048,8.6161084396,4.8592150646,0.0,4.7268638507
COBERTURA DE LA CARTERA DE CREDITOS CONSUMO,1.2221979027,1.2309875181,1.8342441472,1.4820252249,1.5513065006,1.068690785,0.9311328405,0.0,1.2911722727,1.4018437575,1.1091769149,3.0098087155,1.3016397486,1.4056083097,1.2540135487,1.054655647,1.3461693493,0.269681354,0.7498840074,4.6230921554,1.1773565392,0.7843863739,11.550018317,1.0810803244,2.4223146079,1.0339745537,1.4324793714,1.1091769149,1.299221907,5.1136478021,1.483899
COBERTURA DE LA CARTERA DE CRÉDITOS INMOBILIARIO,1.2658973345,0.9878935403,2.9975588589,1.9620513202,2.0970097927,1.0283088155,1.0370288006,0.0,0.0,2.3442353509,1.3822587968,2.6473171033,2.1699427996,1.0,1.4944762975,1.4629921879,0.0,0.0,175.2470173354,836.21,0.0,4361.595,0.0,2.0335809142,0.0,2.2977831968,2.0100119516,1.3822587968,2.4415116283,0.0,2.0302475111
COBERTURA DE LA CARTERA DE CRÉDITOS MICROCRÉDITO,1.0150140026,0.6960846822,1.6289280341,1.5230774045,1.5237497682,0.9794603066,1.1867744406,0.0,0.8973921083,0.5297664342,1.3084385447,1.3201442326,1.203828918,1.7444303347,1.582479122,1.2523261798,10.4929168237,0.3875673046,0.7433113176,2.4112421079,0.8139140388,42.1301754386,1.0227790501,0.9916921091,1.2601082493,1.0945741941,1.4793034037,1.3084385447,0.8486023676,1.176189122,1.4983744987
COBERTURA DE LA CARTERA DE CRÉDITOS VIVIENDA DE INTERÉS SOCIAL Y PÚBLICO,0.0,1.1850936192,51968.4225,0.0,1.5503049988,0.0,0.0,0.0,0.0,0.9000509494,0.0,0.0,0.0,0.0,0.9336908042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3962993908,0.0,0.9000509494,0.0,1.5503049988
COBERTURA DE LA CARTERA DE CRÉDITOS EDUCATIVO,1.6553992293,0.8183739864,3.2573440582,0.3332744716,1.1123200853,0.0,0.683821865,0.0,0.0,0.0,0.0,0.0,6.2804998786,0.0,1.3407924654,0.7166122546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7173775147,1.1165404745,0.0,0.0,0.0,1.1165404745
COBERTURA DE LA CARTERA DE CRÉDITO INVERSIÓN PÚBLICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COBERTURA DE LA CARTERA REFINANCIADA,0.637702816797,1.190911204694,0.715673673984,0.915161762245,0.813663728249,1.011669707537,0.369952507635,0.0,0.580298546709,0.995088345369,1.782671543259,1.18721376922,1.184419385982,0.684511350596,0.967554401318,0.809481938,1.096105325902,0.403268653322,0.893131786581,1.0,0.9807002633,1.435118027404,0.735147683933,0.921677709827,0.850117028046,0.873552833616,0.866001772636,1.782671543259,0.738577041988,0.758053662409,0.858593065221
COBERTURA DE LA CARTERA REESTRUCTURADA,1.140498527145,1.559944028508,0.998763111717,1.579789028606,1.180529381381,1.046172520607,1.484080771272,0.0,0.856263923736,3.175861213628,2.310856427865,2.466669876784,1.601586116455,1.669377491828,1.15461856664,0.817282539102,1.670817241116,0.681414860758,1.180464854339,0.0,0.559950472419,0.600782282415,1.72168097953,1.466536540107,1.403176645081,1.001057872362,1.169987948666,2.310856427865,0.896781972953,1.668060265282,1.192377578003
COBERTURA DE LA CARTERA PROBLEMÁTICA,1.4016841134,2.4334961019,2.7127019666,1.7581973943,2.3119205657,1.1757028907,1.7426014225,15868067.0,1.2778136566,2.7910183182,2.4398989215,2.8469266983,1.6110856272,1.610431566,1.7519674892,1.0001033213,1.4560326073,0.4114538598,0.8474412679,162.2730541896,3.8035657008,1.8379069666,1.0529022304,1.0545637352,1.2829993217,1.1478718204,2.1026076418,2.6854380666,1.5081193792,1.2016600785,2.1708023655
GASTOS DE OPERACION ESTIMADOS / TOTAL ACTIVO PROMEDIO (3),0.033874388,0.0281357972,0.042741376,0.0341871917,0.0366976399,0.03322064,0.0272142197,0.0368284092,0.0770589312,0.0407689887,0.0231546196,0.0333879979,0.0354480873,0.0761917732,0.0375415666,0.0355090726,0.0305525912,0.0525570395,0.0861462199,0.0343816166,0.0699955359,0.0853372812,0.0870718625,0.0399109684,0.0899996325,0.0445144987,0.0372051386,0.0247821984,0.0663180484,0.0887959086,0.0361437872
GASTOS DE OPERACION  / MARGEN FINANCIERO,0.6309299566,0.6667262002,0.8535757647,0.8724202931,0.775686613,0.7910559695,0.6094731967,0.6110958304,0.8816445635,0.7843298657,0.5844713905,0.6725091998,0.849220315,0.8769261532,0.7287577838,1.7727450417,1.2206366822,1.052170992,1.0060681326,0.8526591791,2.2682908658,1.1223295796,2.4664922314,1.4951540827,0.7982396652,1.278193765,0.7713705043,0.5890107087,0.8633023507,1.0975115908,0.7749313619
GASTOS DE PERSONAL ESTIMADOS / ACTIVO PROMEDIO (3),0.0130377652,0.0101385377,0.011861053,0.0096406066,0.0113587925,0.0099755189,0.0094919963,0.0126367705,0.0112586238,0.0141604898,0.0089577551,0.0155652257,0.0168468731,0.0422108755,0.0118797349,0.0139387535,0.012203336,0.025728404,0.048078701,0.0127426343,0.0322070544,0.0423211,0.0434119465,0.0223088375,0.0562494671,0.0210364714,0.0118235764,0.009395665,0.0124699256,0.0509714464,0.0118682689
RESULTADOS DEL EJERCICIO / PATRIMONIO PROMEDIO,0.1721258034,0.2076571093,0.1098053235,0.1265533625,0.144847953,0.0809935558,0.1238350608,0.2474455581,0.0778817058,0.1231281165,0.1239767182,0.1597283644,0.074432613,0.0076120049,0.106008262,-0.1823888632,0.0026208651,0.0010127582,0.0271218739,0.0313289117,0.0308273973,0.0016585929,0.0013853342,0.0155347791,0.1808129793,-0.0133890942,0.1257410545,0.1440314021,0.0849681816,0.1162137317,0.1288216588
